순번,년도,공사번호,유형,유형ID,1,주공사 공사명,"연면적
(㎡)","대지면적
(㎡)","건축면적
(㎡)","조경면적
(㎡)","기준층 층고
(m)","최고높이
(m)",최대지하 층 수,최대지상 층 수,공사일 수,주차대수,내진등급,건축,기계,토목,조경,전기,통신,소방,합계,,가설공사,기초공사,철근콘크리트공사,철골공사,조적공사,방수공사,석공사,타일공사,금속공사(지붕및홈통공사 포함),미장공사,창호및유리공사,목공사및수장공사(인테리어공사 포함),도장공사,해체및 철거공사,폐기물처리비,골재비및운반비,작업부산물,품질시험비,기타공사,기계소계,전기소계,통신소계,소방소계,토목소계,조경소계,총 공사비,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2015,2015_10021,일반청사,3,0,국립종자원경남지원 청사신축공사,988.1,11870,659.51,2408,4,11.9,0,2,0,31,"D등급, 내진등급 - 내진설계1등급","1,404,551,000", - , - , - ,"97,163,000","32,778,000","9,279,000","1,543,771,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,543,771,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2015,2015_10022,대형청사,11,0,대전지방법원 천안지원청사 신축 제1차 건축공사 계약요청,24130.77,0,0,0,0,0,1,8,912,0,0,"33,919,374,190","8,865,771,316", - ,"1,163,935,275","6,235,481,315","2,514,288,112","2,030,105,380","54,728,955,588",,"28,513,785.86","273,644.78","43,126,417.00","11,930,912.32","9,522,838.27","9,085,006.63","51,007,386.61","3,119,550.47","19,483,508.19","8,756,632.89","16,035,583.99","95,392,569.59","5,527,624.51", -   , -   ,"1,806,055.53", -   ,"2,079,700.31","12,587,659.79","119,746,954.83","48,435,125.70","18,826,760.72","25,886,795.99", -   ,"16,145,041.90","54,728,955,588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2015,2015_10023,대형청사,11,0,예산군 신청사 건립공사,25805.16,35397,6549.57,12273.59,0,42.55,1,9,780,672,0,"28,355,378,375","11,082,102,424","3,314,237,731","2,219,561,865","7,206,766,311","5,715,334,459","1,764,681,701","59,658,062,866",,"28,814,844.36", -   ,"71,768,649.63","4,772,645.03","8,650,419.12","18,076,393.05","20,045,109.12","954,529.01","25,712,625.10","8,053,838.49","25,712,625.10","87,995,642.73","4,832,303.09", -   , -   ,"1,670,425.76","-357,948.38", -   ,"5,070,935.34","105,415,797.08","59,598,404.80","25,831,941.22","25,414,334.78","33,706,805.52","34,840,308.71","59,658,062,866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2015,2015_10024,연구시설,2,0,한국해양과학기술원 부산 신청사 건립공사,43536,159634,22040.49,56107.61,4.2,41.85,2,9,660,805,D등급,"64,868,045,932","15,108,842,576","4,599,393,938","3,207,601,238","8,807,842,160","4,524,466,765","2,877,209,492","103,993,402,101",,"72,691,388.07","41,493,367.44","117,408,550.97","18,926,799.18","8,215,478.77","17,470,891.55","103,993.40","3,743,762.48","33,173,895.27","7,695,511.76","38,269,571.97","59,692,212.81","16,430,957.53", -   , -   ,"1,559,901.03", -   ,"831,947.22","24,750,429.70","228,889,478.02","124,272,115.51","62,084,061.05","41,597,360.84","70,715,513.43","49,916,833.01","103,993,402,101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2015,2015_10025,대형청사,11,0,예천군 신청사 및 의회청사 건립공사(건축),17861.04,41893,4943.4,12952.27,0,32.08,1,5,610,300,서류없음,"19,998,881,571","19,998,881,571","2,155,489,630","1,294,632,441","4,650,135,581","3,170,467,093","1,927,342,368","40,384,907,961",,"26,452,114.71","1,090,392.51","50,844,599.12","10,136,611.90","13,003,940.36","8,198,136.32","8,117,366.50","1,251,932.15","26,169,420.36","5,855,811.65","11,509,698.77","35,579,103.91","4,644,264.42", -   , -   ,"1,130,777.42","-282,694.36", -   ,"11,752,008.22","58,679,271.27","38,325,277.65","23,423,246.62","24,917,488.21","24,069,405.14","18,980,906.74","40,384,907,961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2015,2015_10026,대형청사,11,0,한국인터넷진흥원 지방이전 청사 신축공사(건축),16656.46,23613,3991.43,6892.05,0,45.85,1,8,660,213,0,"17,022,019,519","7,346,646,679","1,047,571,587","1,018,174,587","4,179,705,767","2,805,662,360","1,699,049,903","35,118,830,402",,"20,263,565.14","8,428,519.30","30,904,570.75","5,127,349.24","8,182,687.48","6,251,151.81","1,404,753.22","3,652,358.36","32,028,373.33","4,319,616.14","19,912,376.84","38,700,951.10","2,949,981.75", -   , -   ,"1,194,040.23", -   ,"245,831.81", -   ,"61,949,616.83","28,165,301.98","25,917,696.84","23,529,616.37","11,764,808.18","16,295,137.31","35,118,830,402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2015,2015_10027,대형청사,11,0,(가칭)세종비즈센터 시설공사(건축),10321.14,0,0,0,0,0,1,8,540,0,0,"11,427,167,970","514,269,281","859,435,013","248,462,331","2,141,635,707","1,294,160,325","766,813,414","17,251,944,041",,"16,096,063.79","3,605,656.30","20,495,309.52","11,507,046.68","1,604,430.80","3,898,939.35","6,348,715.41","1,190,384.14","23,773,178.89","2,432,524.11","7,901,390.37","12,197,124.44","1,880,461.90","189,771.38", -   ,"483,054.43","-120,763.61","69,007.78","1,621,682.74","7,521,847.60","14,595,144.66","9,937,119.77","9,557,577.00","11,955,597.22","3,778,175.74","17,251,944,041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2015,2015_10028,대형청사,11,0,한국교직원공제회관 신축 건축공사,83381.31,6476,0,0,0,0,5,27,1065,0,0,"125,830,922,694","36,490,475,974","14,899,148,877","2,793,317,921","28,575,572,095","16,549,714,393","8,364,620,227","233,503,772,181",,"55,573,897.78", -   ,"156,214,023.59","202,214,266.71","6,771,609.39","14,710,737.65","32,457,024.33","7,238,616.94","155,747,016.04","12,842,707.47","235,138,298.59","267,595,322.92","10,507,669.75","15,177,745.19", -   ,"2,101,533.95","-2,101,533.95","5,837,594.30","107,645,238.98","362,164,350.65","275,534,451.17","157,381,542.45","77,523,252.36","148,508,399.11","28,253,956.43","233,503,772,181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2015,2015_10029,초등학교,9,0,(가칭)대구강림초등학교 신축공사(장기계속),11708.41,12000,3744.16,0,0,0,1,4,370,39,0,"11,632,577,482","2,163,580,270","540,896,671", - ,"2,582,787,997","1,098,070,941","461,360,082","18,479,273,443",,"8,537,424.33","2,697,973.92","27,608,034.52","1,774,010.25","7,558,022.84","5,100,279.47","8,445,027.96","2,882,766.66","24,096,972.57","4,250,232.89","12,399,592.48","14,395,354.01","2,383,826.27", -   , -   ,"942,442.95", -   , -   ,"4,823,090.37","13,970,330.72","19,643,467.67","10,625,582.23","6,338,390.79","6,319,911.52", -   ,"18,479,273,443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2015,2015_10030,초등학교,9,0,전주봉곡초등학교 신축공사,7598.49,9028.1,3188.29,1659.91,0,18.09,1,4,380,31,서류없음,"10,692,878,248","990,035,985","635,027,421","288,230,066","1,532,977,818","1,013,548,244","465,076,234","15,617,774,016",,"8,371,126.87","2,982,994.84","20,552,990.61","1,702,337.37","7,231,029.37","2,124,017.27","4,935,216.59","1,280,657.47","9,854,815.40","3,186,025.90","7,965,064.75","23,145,541.09","1,499,306.31", -   ,"15,617.77","1,124,479.73", -   ,"78,088.87","7,106,087.18","13,415,667.88","13,899,818.87","7,480,913.75","5,841,047.48","8,339,891.32","4,045,003.47","15,617,774,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2015,2015_10031,초등학교,9,0,소담유초등학교 신축공사,22210.12,0,0,0,0,0,1,5,360,0,0,"19,225,045,259","5,062,872,258","1,075,214,123","651,444,681","3,443,812,185","1,293,553,447","1,568,780,831","32,320,722,784",,"18,939,943.55","5,817,730.10","47,899,311.17","1,486,753.25","10,698,159.24","11,376,894.42","4,460,259.74","2,488,695.65","26,018,181.84","7,272,162.63","15,610,909.10","29,928,989.30","4,201,693.96", -   , -   ,"2,230,129.87","-226,245.06", -   ,"2,908,865.05","43,697,617.20","29,217,933.40","12,605,081.89","21,460,959.93","15,416,984.77","9,696,216.84","32,320,722,784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2015,2015_10032,초등학교,9,0,당암유·초등학교 신축공사,21649.58,19623,6149,3063.27,3.6,21.55,1,5,420,100,서류없음,"19,911,049,423","5,082,321,961","1,856,992,131","561,821,921","3,776,239,614","1,267,193,094","1,243,222,839","33,698,840,983",,"21,230,269.82","3,032,895.69","54,423,628.19","4,987,428.47","20,084,509.23","10,008,555.77","16,748,323.97","3,032,895.69","27,902,640.33","8,626,903.29","8,896,494.02","26,183,999.44","3,706,872.51", -   , -   ,"2,729,606.12","-235,891.89", -   ,"3,538,378.30","41,483,273.25","32,182,393.14","11,558,702.46","17,085,312.38","11,154,316.37","8,626,903.29","33,698,840,983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2015,2015_10033,초등학교,9,0,익산배산초등학교 신축공사,10663.49,10761.6,3106.57,2838.05,3.6,21.25,1,5,390,71,서류없음,"14,092,493,238","1,575,721,800","480,432,048","362,190,320","1,975,089,896","1,192,238,192","570,250,816","20,248,416,310",,"10,812,654.31","5,872,040.73","36,831,869.27","2,409,561.54","9,456,010.42","3,928,192.76","5,284,836.66","1,842,605.88","11,906,068.79","4,920,365.16","10,893,647.97","19,397,982.82","2,895,523.53", -   , -   ,"2,389,313.12", -   ,"202,484.16","5,608,811.32","21,605,060.20","17,413,638.03","9,476,258.83","7,350,175.12","6,722,474.21","5,264,588.24","20,248,416,310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2015,2015_10034,초등학교,9,0,새롬유·초등학교 신축공사,20545.03,15551,5423.42,2427.65,3.6,19.9,1,5,420,103,서류없음,"20,226,226,189","4,946,387,549","873,640,478","470,728,643","3,660,681,355","1,128,403,966","1,106,765,746","32,412,833,926",,"18,929,095.01","4,213,668.41","56,074,202.69","2,268,898.37","12,673,418.07","10,210,042.69","13,580,977.41","3,565,411.73","24,698,579.45","7,811,492.98","11,863,097.22","28,166,752.68","3,857,127.24", -   , -   ,"2,430,962.54","-259,302.67", -   ,"5,510,181.77","42,104,271.27","31,116,320.57","10,858,299.37","14,942,316.44","12,381,702.56","7,130,823.46","32,412,833,926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
