공종,코드,명칭,규격,단위,CalRevitWall,재료비단가,노무비단가,경비단가,합계단가,RecCost1,RecCost2,산식2,산식3
철골공사,3DABG058,CT  형강,SS400-  CT-145*199*7*10mm,TN,,,,,,,,,
철골공사,3DABG059,CT  형강,SS400-  CT-147*200*8*12mm,TN,,,,,,,,,
철골공사,3DABG060,CT  형강,SS400-  CT-149*201*9*14mm,TN,,,,,,,,,
철골공사,3DABG061,CT  형강,SS400-  CT-147*302*12*12mm,TN,,,,,,,,,
철골공사,3DABG062,CT  형강,SS400-  CT-150*150*6.5*9mm,TN,,,,,,,,,
철골공사,3DABG063,CT  형강,SS400-  CT-150*150*6.5*11mm,TN,,,,,,,,,
철골공사,3DABG064,CT  형강,SS400-  CT-150*300*10*15mm,TN,,,,,,,,,
철골공사,3DABG065,CT  형강,SS400-  CT-150*305*15*15mm,TN,,,,,,,,,
철골공사,3DABG066,CT  형강,SS400-  CT-152*301*11*17mm,TN,,,,,,,,,
철골공사,3DABG067,CT  형강,SS400-  CT-152*202*10*17mm,TN,,,,,,,,,
철골공사,3DABG068,CT  형강,SS400-  CT-153*151*7.5*12mm,TN,,,,,,,,,
철골공사,3DABG069,CT  형강,SS400-  CT-155*303*13*20mm,TN,,,,,,,,,
철골공사,3DABG070,CT  형강,SS400-  CT-169*351*13*13mm,TN,,,,,,,,,
철골공사,3DABG071,CT  형강,SS400-  CT-172*348*10*16mm,TN,,,,,,,,,
철골공사,3DABG072,CT  형강,SS400-  CT-172*354*16*16mm,TN,,,,,,,,,
철골공사,3DABG073,CT  형강,SS400-  CT-175*350*12*19mm,TN,,,,,,,,,
철골공사,3DABG074,CT  형강,SS400-  CT-175*357*19*10mm,TN,,,,,,,,,
철골공사,3DABG075,CT  형강,SS400-  CT-173*174*6*9mm,TN,,,,,,,,,
철골공사,3DABG076,CT  형강,SS400-  CT-175*175*7*11mm,TN,,,,,,,,,
철골공사,3DABG077,CT  형강,SS400-  CT-177*176*8*13mm,TN,,,,,,,,,
철골공사,3DABG078,CT  형강,SS400-  CT-179*177*9*15mm,TN,,,,,,,,,
철골공사,3DABG079,CT  형강,SS400-  CT-168*249*8*12mm,TN,,,,,,,,,
철골공사,3DABG080,CT  형강,SS400-  CT-170*250*9*14mm,TN,,,,,,,,,
철골공사,3DABG081,CT  형강,SS400-  CT-173*251*10*17mm,TN,,,,,,,,,
철골공사,3DABG082,CT  형강,SS400-  CT-175*253*12*19mm,TN,,,,,,,,,
철골공사,3DABG083,CT  형강,SS400-  CT-178*352*14*22mm,TN,,,,,,,,,
철골공사,3DABG084,CT  형강,SS400-  CT-181*354*16*25mm,TN,,,,,,,,,
철골공사,3DABG085,CT  형강,SS400-  CT-198*199*7*11mm,TN,,,,,,,,,
철골공사,3DABG086,CT  형강,SS400-  CT-193*299*9*14mm,TN,,,,,,,,,
철골공사,3DABG087,CT  형강,SS400-  CT-195*300*10*16mm,TN,,,,,,,,,
철골공사,3DABG088,CT  형강,SS400-  CT-198*302*12*19mm,TN,,,,,,,,,
철골공사,3DABG089,CT  형강,SS400-  CT-200*200*8*13mm,TN,,,,,,,,,
철골공사,3DABG090,CT  형강,SS400-  CT-202*201*9*15mm,TN,,,,,,,,,
철골공사,3DABG091,CT  형강,SS400-  CT-205*202*10*18mm,TN,,,,,,,,,
철골공사,3DABG092,CT  형강,SS400-  CT-201*303*13*22mm,TN,,,,,,,,,
철골공사,3DABG093,CT  형강,SS400-  CT-194*402*13*15mm,TN,,,,,,,,,
철골공사,3DABG094,CT  형강,SS400-  CT-197*398*11*18mm,TN,,,,,,,,,
철골공사,3DABG095,CT  형강,SS400-  CT-190*405*18*18mm,TN,,,,,,,,,
철골공사,3DABG096,CT  형강,SS400-  CT-200*400*13*21mm,TN,,,,,,,,,
철골공사,3DABG097,CT  형강,SS400-  CT-203*408*21*21mm,TN,,,,,,,,,
